,date,url,text,source,classification,json,img
0, 2021-08-05 11:55:21,https://piaui.folha.uol.com.br/lupa/2021/08/05/verificamos-mpf-suspensao-vacina/," ""“Os casos de reação à vacina chegaram aos consultórios médicos e também ao Ministério Público Federal. O MPF investigou como foi feita a adoção da vacina pelas autoridades de saúde e concluiu que não existe uma pesquisa que comprove a eficácia da imunização. (...) Vários países estão preocupados com os efeitos adversos da vacina. São mais de 2 mil efeitos, tanto é que o Japão já recomenda a não aplicação da vacina. Eu peço que a vacina seja proibida em todo o território nacional (...)”"""," ""Post no WhatsApp""", Falso,"                                
                                    {
                                        ""@context"": ""http://schema.org"",
                                        ""@type"": [""ClaimReview""],
                                        ""datePublished"": ""2021-08-05 11:55:21"",
                                        ""url"": ""https://piaui.folha.uol.com.br/lupa/2021/08/05/verificamos-mpf-suspensao-vacina/"",
                                        ""author"": {
                                            ""@type"": ""Organization"",
                                            ""url"": ""https://piaui.folha.uol.com.br/lupa"",
                                            ""sameAs"": ""https://twitter.com/agencialupa"",
                                            ""name"": ""Agência Lupa""
                                        },
                                        ""claimReviewed"": ""“Os casos de reação à vacina chegaram aos consultórios médicos e também ao Ministério Público Federal. O MPF investigou como foi feita a adoção da vacina pelas autoridades de saúde e concluiu que não existe uma pesquisa que comprove a eficácia da imunização. (...) Vários países estão preocupados com os efeitos adversos da vacina. São mais de 2 mil efeitos, tanto é que o Japão já recomenda a não aplicação da vacina. Eu peço que a vacina seja proibida em todo o território nacional (...)”"",
                                        ""reviewRating"": {
                                            ""@type"": ""Rating"",
                                            ""ratingValue"": 4,
                                            ""bestRating"": 6,
                                            ""alternateName"": ""Falso"",
                                            ""image"": """"
                                        },
                                        ""itemReviewed"": {
                                            ""@type"": ""CreativeWork"",
                                            ""author"": {
                                                ""@type"": ""Person"",
                                                ""name"": ""Post no WhatsApp"",
                                                ""sameAs"": """"
                                            },
                                            ""datePublished"": ""2021-08-05 11:55:21""
                                        }
                                    }
                                    ",https://piaui.folha.uol.com.br/lupa/wp-content/uploads/2021/08/0408-Video-casos-reacao-vacina_.jpg
1, 2021-08-02 17:50:41,https://piaui.folha.uol.com.br/lupa/2021/08/02/verificamos-cdc-variante-coronavirus-vacina/," """"Variante é a própria vacina"":"""," ""Post no Instagram""", Falso,"                                
                                    {
                                        ""@context"": ""http://schema.org"",
                                        ""@type"": [""ClaimReview""],
                                        ""datePublished"": ""2021-08-02 17:50:41"",
                                        ""url"": ""https://piaui.folha.uol.com.br/lupa/2021/08/02/verificamos-cdc-variante-coronavirus-vacina/"",
                                        ""author"": {
                                            ""@type"": ""Organization"",
                                            ""url"": ""https://piaui.folha.uol.com.br/lupa"",
                                            ""sameAs"": ""https://twitter.com/agencialupa"",
                                            ""name"": ""Agência Lupa""
                                        },
                                        ""claimReviewed"": """"Variante é a própria vacina"":"",
                                        ""reviewRating"": {
                                            ""@type"": ""Rating"",
                                            ""ratingValue"": 4,
                                            ""bestRating"": 6,
                                            ""alternateName"": ""Falso"",
                                            ""image"": """"
                                        },
                                        ""itemReviewed"": {
                                            ""@type"": ""CreativeWork"",
                                            ""author"": {
                                                ""@type"": ""Person"",
                                                ""name"": ""Post no Instagram"",
                                                ""sameAs"": ""https://www.instagram.com/p/CR6kKLFso-v/""
                                            },
                                            ""datePublished"": ""2021-08-02 17:50:41""
                                        }
                                    }
                                    ",https://piaui.folha.uol.com.br/lupa/wp-content/uploads/2021/08/0208-Variante-e-a-vacina-1.png
2, 2021-08-02 17:50:41,https://piaui.folha.uol.com.br/lupa/2021/08/02/verificamos-cdc-variante-coronavirus-vacina/," ""O CDC finalmente admite que pessoas totalmente vacinadas ""espalham variantes"" e devem usar máscaras..."""," ""Post no Insagram""", Exagerado,"                                
                                    {
                                        ""@context"": ""http://schema.org"",
                                        ""@type"": [""ClaimReview""],
                                        ""datePublished"": ""2021-08-02 17:50:41"",
                                        ""url"": ""https://piaui.folha.uol.com.br/lupa/2021/08/02/verificamos-cdc-variante-coronavirus-vacina/"",
                                        ""author"": {
                                            ""@type"": ""Organization"",
                                            ""url"": ""https://piaui.folha.uol.com.br/lupa"",
                                            ""sameAs"": ""https://twitter.com/agencialupa"",
                                            ""name"": ""Agência Lupa""
                                        },
                                        ""claimReviewed"": ""O CDC finalmente admite que pessoas totalmente vacinadas ""espalham variantes"" e devem usar máscaras..."",
                                        ""reviewRating"": {
                                            ""@type"": ""Rating"",
                                            ""ratingValue"": 4,
                                            ""bestRating"": 6,
                                            ""alternateName"": ""Exagerado"",
                                            ""image"": """"
                                        },
                                        ""itemReviewed"": {
                                            ""@type"": ""CreativeWork"",
                                            ""author"": {
                                                ""@type"": ""Person"",
                                                ""name"": ""Post no Insagram"",
                                                ""sameAs"": ""https://www.instagram.com/p/CR6kKLFso-v/""
                                            },
                                            ""datePublished"": ""2021-08-02 17:50:41""
                                        }
                                    }
                                    ",https://piaui.folha.uol.com.br/lupa/wp-content/uploads/2021/08/0208-Variante-e-a-vacina-1.png
3, 2021-07-30 17:09:38,https://piaui.folha.uol.com.br/lupa/2021/07/30/verificamos-anvisa-evidencias-mascaras-covid-19/," ""Máscaras não funcionam! ANVISA ADMITE NÃO HAVER EVIDÊNCIA DE EFICÁCIA DE MÁSCARAS! A AGÊNCIA JUSTIFICA A RECOMENDAÇÃO DE USO DE MÁSCARAS BASEANDO-SE UNICAMENTE NA AUTORIDADE DA OMS”"""," ""Post no Facebook """, Falso,"                                
                                    {
                                        ""@context"": ""http://schema.org"",
                                        ""@type"": [""ClaimReview""],
                                        ""datePublished"": ""2021-07-30 17:09:38"",
                                        ""url"": ""https://piaui.folha.uol.com.br/lupa/2021/07/30/verificamos-anvisa-evidencias-mascaras-covid-19/"",
                                        ""author"": {
                                            ""@type"": ""Organization"",
                                            ""url"": ""https://piaui.folha.uol.com.br/lupa"",
                                            ""sameAs"": ""https://twitter.com/agencialupa"",
                                            ""name"": ""Agência Lupa""
                                        },
                                        ""claimReviewed"": ""Máscaras não funcionam! ANVISA ADMITE NÃO HAVER EVIDÊNCIA DE EFICÁCIA DE MÁSCARAS! A AGÊNCIA JUSTIFICA A RECOMENDAÇÃO DE USO DE MÁSCARAS BASEANDO-SE UNICAMENTE NA AUTORIDADE DA OMS”"",
                                        ""reviewRating"": {
                                            ""@type"": ""Rating"",
                                            ""ratingValue"": 4,
                                            ""bestRating"": 6,
                                            ""alternateName"": ""Falso"",
                                            ""image"": """"
                                        },
                                        ""itemReviewed"": {
                                            ""@type"": ""CreativeWork"",
                                            ""author"": {
                                                ""@type"": ""Person"",
                                                ""name"": ""Post no Facebook "",
                                                ""sameAs"": ""https://www.facebook.com/thiagofmarks/posts/2564796070333017""
                                            },
                                            ""datePublished"": ""2021-07-30 17:09:38""
                                        }
                                    }
                                    ",https://piaui.folha.uol.com.br/lupa/wp-content/uploads/2021/07/3007-Mascaras_.png
4, 2021-07-08 20:17:45,https://piaui.folha.uol.com.br/lupa/2021/07/08/verificamos-bluetooth-vacina/," ""Olha só. Tudo isso aqui é o pessoal que foi vacinado. Todo mundo que levou sua marquinha agora pode ser identificado. Isso é o que o meu Bluetooth está conseguindo pegar. É a marca do chip da vacina"""," ""Post no Facebook""", Falso,"                                
                                    {
                                        ""@context"": ""http://schema.org"",
                                        ""@type"": [""ClaimReview""],
                                        ""datePublished"": ""2021-07-08 20:17:45"",
                                        ""url"": ""https://piaui.folha.uol.com.br/lupa/2021/07/08/verificamos-bluetooth-vacina/"",
                                        ""author"": {
                                            ""@type"": ""Organization"",
                                            ""url"": ""https://piaui.folha.uol.com.br/lupa"",
                                            ""sameAs"": ""https://twitter.com/agencialupa"",
                                            ""name"": ""Agência Lupa""
                                        },
                                        ""claimReviewed"": ""Olha só. Tudo isso aqui é o pessoal que foi vacinado. Todo mundo que levou sua marquinha agora pode ser identificado. Isso é o que o meu Bluetooth está conseguindo pegar. É a marca do chip da vacina"",
                                        ""reviewRating"": {
                                            ""@type"": ""Rating"",
                                            ""ratingValue"": 4,
                                            ""bestRating"": 6,
                                            ""alternateName"": ""Falso"",
                                            ""image"": """"
                                        },
                                        ""itemReviewed"": {
                                            ""@type"": ""CreativeWork"",
                                            ""author"": {
                                                ""@type"": ""Person"",
                                                ""name"": ""Post no Facebook"",
                                                ""sameAs"": ""https://www.facebook.com/mari.nascimento.140/posts/4142681362489816""
                                            },
                                            ""datePublished"": ""2021-07-08 20:17:45""
                                        }
                                    }
                                    ",https://piaui.folha.uol.com.br/lupa/wp-content/uploads/2021/07/bluetooth-pessoas-vacinadas.jpg
5, 2021-06-28 16:22:50,https://piaui.folha.uol.com.br/lupa/2021/06/28/verificamos-universidade-oxford-ivermectina-eficaz/," ""“Ivermectina reduz replicação do vírus da Covid, afirma Universidade de Oxford”"""," ""Post no Instagram""", Falso,"                                
                                    {
                                        ""@context"": ""http://schema.org"",
                                        ""@type"": [""ClaimReview""],
                                        ""datePublished"": ""2021-06-28 16:22:50"",
                                        ""url"": ""https://piaui.folha.uol.com.br/lupa/2021/06/28/verificamos-universidade-oxford-ivermectina-eficaz/"",
                                        ""author"": {
                                            ""@type"": ""Organization"",
                                            ""url"": ""https://piaui.folha.uol.com.br/lupa"",
                                            ""sameAs"": ""https://twitter.com/agencialupa"",
                                            ""name"": ""Agência Lupa""
                                        },
                                        ""claimReviewed"": ""“Ivermectina reduz replicação do vírus da Covid, afirma Universidade de Oxford”"",
                                        ""reviewRating"": {
                                            ""@type"": ""Rating"",
                                            ""ratingValue"": 4,
                                            ""bestRating"": 6,
                                            ""alternateName"": ""Falso"",
                                            ""image"": """"
                                        },
                                        ""itemReviewed"": {
                                            ""@type"": ""CreativeWork"",
                                            ""author"": {
                                                ""@type"": ""Person"",
                                                ""name"": ""Post no Instagram"",
                                                ""sameAs"": ""https://www.instagram.com/p/CQdddAeHrY_/?utm_medium=copy_link""
                                            },
                                            ""datePublished"": ""2021-06-28 16:22:50""
                                        }
                                    }
                                    ",https://piaui.folha.uol.com.br/lupa/wp-content/uploads/2021/06/2406-oxford-ivermectina.png
6, 2021-06-21 19:15:32,https://piaui.folha.uol.com.br/lupa/2021/06/21/verificamos-biden-ivermectina-tratamento-precoce/," ""“E agora, José? Mr. Biden defendendo Ivermectina, defendendo tratamento precoce,  culpando a China pela pandemia. Será que combinou com Bolsonaro? E agora esquerdosos?”"""," ""Post no Facebook""", Falso,"                                
                                    {
                                        ""@context"": ""http://schema.org"",
                                        ""@type"": [""ClaimReview""],
                                        ""datePublished"": ""2021-06-21 19:15:32"",
                                        ""url"": ""https://piaui.folha.uol.com.br/lupa/2021/06/21/verificamos-biden-ivermectina-tratamento-precoce/"",
                                        ""author"": {
                                            ""@type"": ""Organization"",
                                            ""url"": ""https://piaui.folha.uol.com.br/lupa"",
                                            ""sameAs"": ""https://twitter.com/agencialupa"",
                                            ""name"": ""Agência Lupa""
                                        },
                                        ""claimReviewed"": ""“E agora, José? Mr. Biden defendendo Ivermectina, defendendo tratamento precoce,  culpando a China pela pandemia. Será que combinou com Bolsonaro? E agora esquerdosos?”"",
                                        ""reviewRating"": {
                                            ""@type"": ""Rating"",
                                            ""ratingValue"": 4,
                                            ""bestRating"": 6,
                                            ""alternateName"": ""Falso"",
                                            ""image"": """"
                                        },
                                        ""itemReviewed"": {
                                            ""@type"": ""CreativeWork"",
                                            ""author"": {
                                                ""@type"": ""Person"",
                                                ""name"": ""Post no Facebook"",
                                                ""sameAs"": ""https://www.facebook.com/photo.php?fbid=129464979287010&set=a.100716465495195&type=3&theater""
                                            },
                                            ""datePublished"": ""2021-06-21 19:15:32""
                                        }
                                    }
                                    ",https://piaui.folha.uol.com.br/lupa/wp-content/uploads/2021/06/2106-Biden-invermectina.png
7, 2021-06-15 14:36:30,https://piaui.folha.uol.com.br/lupa/2021/06/15/verificamos-girao-cpi-cientistas-contra-ciencia/," ""'Essa CPI precisa ouvir cientistas que são a favor e também os que são contra a ciência.' Senador Eduardo Girão (Podemos, CE)"""," ""Post publicado no Facebook""", Falso,"                                
                                    {
                                        ""@context"": ""http://schema.org"",
                                        ""@type"": [""ClaimReview""],
                                        ""datePublished"": ""2021-06-15 14:36:30"",
                                        ""url"": ""https://piaui.folha.uol.com.br/lupa/2021/06/15/verificamos-girao-cpi-cientistas-contra-ciencia/"",
                                        ""author"": {
                                            ""@type"": ""Organization"",
                                            ""url"": ""https://piaui.folha.uol.com.br/lupa"",
                                            ""sameAs"": ""https://twitter.com/agencialupa"",
                                            ""name"": ""Agência Lupa""
                                        },
                                        ""claimReviewed"": ""'Essa CPI precisa ouvir cientistas que são a favor e também os que são contra a ciência.' Senador Eduardo Girão (Podemos, CE)"",
                                        ""reviewRating"": {
                                            ""@type"": ""Rating"",
                                            ""ratingValue"": 4,
                                            ""bestRating"": 6,
                                            ""alternateName"": ""Falso"",
                                            ""image"": """"
                                        },
                                        ""itemReviewed"": {
                                            ""@type"": ""CreativeWork"",
                                            ""author"": {
                                                ""@type"": ""Person"",
                                                ""name"": ""Post publicado no Facebook"",
                                                ""sameAs"": ""https://www.facebook.com/100046905255255/posts/338553717718134""
                                            },
                                            ""datePublished"": ""2021-06-15 14:36:30""
                                        }
                                    }
                                    ",https://piaui.folha.uol.com.br/lupa/wp-content/uploads/2021/06/girao-cpi-cientistas-contra-ciencia.jpg
8, 2021-05-27 18:41:42,https://piaui.folha.uol.com.br/lupa/2021/05/27/verificamos-farmacia-italia-hidroxicloroquina-gratuita-2021/," ""“COMBATE AO COVID-19  Farmácias italianas distribuem gratuitamente a hidroxicloroquina para pacientes com covid-19 tratados em casa”"""," ""Post no Facebook""", Falso,"                                
                                    {
                                        ""@context"": ""http://schema.org"",
                                        ""@type"": [""ClaimReview""],
                                        ""datePublished"": ""2021-05-27 18:41:42"",
                                        ""url"": ""https://piaui.folha.uol.com.br/lupa/2021/05/27/verificamos-farmacia-italia-hidroxicloroquina-gratuita-2021/"",
                                        ""author"": {
                                            ""@type"": ""Organization"",
                                            ""url"": ""https://piaui.folha.uol.com.br/lupa"",
                                            ""sameAs"": ""https://twitter.com/agencialupa"",
                                            ""name"": ""Agência Lupa""
                                        },
                                        ""claimReviewed"": ""“COMBATE AO COVID-19  Farmácias italianas distribuem gratuitamente a hidroxicloroquina para pacientes com covid-19 tratados em casa”"",
                                        ""reviewRating"": {
                                            ""@type"": ""Rating"",
                                            ""ratingValue"": 4,
                                            ""bestRating"": 6,
                                            ""alternateName"": ""Falso"",
                                            ""image"": """"
                                        },
                                        ""itemReviewed"": {
                                            ""@type"": ""CreativeWork"",
                                            ""author"": {
                                                ""@type"": ""Person"",
                                                ""name"": ""Post no Facebook"",
                                                ""sameAs"": ""https://www.facebook.com/photo.php?fbid=10225087032714174&set=a.1768312098805&type=3&theater""
                                            },
                                            ""datePublished"": ""2021-05-27 18:41:42""
                                        }
                                    }
                                    ",https://piaui.folha.uol.com.br/lupa/wp-content/uploads/2021/05/2705-Cloroquina-Italia.png
9, 2021-05-26 18:39:41,https://piaui.folha.uol.com.br/lupa/2021/05/26/verificamos-senador-mia-khalifa-cpi/," ""Mia Khalifa - Senador Luís Carlos Heinze cita 'médica' durante a CPI da Covid-19. A então médica é uma atriz de filmes pornográficos"""," ""Tuíte compartilhado no WhatsApp""", Falso,"                                
                                    {
                                        ""@context"": ""http://schema.org"",
                                        ""@type"": [""ClaimReview""],
                                        ""datePublished"": ""2021-05-26 18:39:41"",
                                        ""url"": ""https://piaui.folha.uol.com.br/lupa/2021/05/26/verificamos-senador-mia-khalifa-cpi/"",
                                        ""author"": {
                                            ""@type"": ""Organization"",
                                            ""url"": ""https://piaui.folha.uol.com.br/lupa"",
                                            ""sameAs"": ""https://twitter.com/agencialupa"",
                                            ""name"": ""Agência Lupa""
                                        },
                                        ""claimReviewed"": ""Mia Khalifa - Senador Luís Carlos Heinze cita 'médica' durante a CPI da Covid-19. A então médica é uma atriz de filmes pornográficos"",
                                        ""reviewRating"": {
                                            ""@type"": ""Rating"",
                                            ""ratingValue"": 4,
                                            ""bestRating"": 6,
                                            ""alternateName"": ""Falso"",
                                            ""image"": """"
                                        },
                                        ""itemReviewed"": {
                                            ""@type"": ""CreativeWork"",
                                            ""author"": {
                                                ""@type"": ""Person"",
                                                ""name"": ""Tuíte compartilhado no WhatsApp"",
                                                ""sameAs"": ""https://www.facebook.com/iconografiadahistoriaoficial/photos/a.274454429670572/1250044325444906/""
                                            },
                                            ""datePublished"": ""2021-05-26 18:39:41""
                                        }
                                    }
                                    ",https://piaui.folha.uol.com.br/lupa/wp-content/uploads/2021/05/heinze-mia-khalifa.jpg
